date,daily_happiness
2020-07-02,5.498645140867353
2020-07-03,5.483472222222224
2020-07-04,5.483017988008002
2020-07-05,5.460607940446646
2020-07-06,5.505350398657165
2020-07-07,5.467087015635621
2020-07-08,5.473683241252324
2020-07-09,5.502731941116054
2020-07-10,5.450626029654047
2020-07-11,5.445352480417753
2020-07-12,5.501512745507725
2020-07-13,5.458213166144213
2020-07-14,5.464866666666655
2020-07-15,5.505040178571452
2020-07-16,5.48024303073625
2020-07-17,5.502233962264149
2020-07-18,5.46356187290971
2020-07-19,5.4983420899007625
2020-07-20,5.47555681389205
2020-07-21,5.4921464108031195
2020-07-22,5.505880855397157
2020-07-23,5.502989864864873
2020-07-24,5.470594102341714
2020-07-25,5.494568324756989
2020-07-26,5.512572815533981
2020-07-27,5.467289268473823
