date,daily_happiness
2020-07-03,5.50198622273248
2020-07-04,5.503476363636359
2020-07-05,5.481721809588113
2020-07-06,5.520563442768417
2020-07-07,5.477812611328823
2020-07-08,5.485695466873302
2020-07-09,5.515761921835802
2020-07-10,5.4603929679421075
2020-07-11,5.458040571692008
2020-07-12,5.516850463167181
2020-07-13,5.468270072992693
2020-07-14,5.476244830438373
2020-07-15,5.521520606347712
2020-07-16,5.492166416791623
2020-07-17,5.517263701350284
2020-07-18,5.481974789915965
2020-07-19,5.516771752837319
2020-07-20,5.487621320604627
2020-07-21,5.504556301267733
2020-07-22,5.5241339869280885
2020-07-23,5.518420348058876
2020-07-24,5.485348943985318
2020-07-25,5.5125400739827315
2020-07-26,5.533618992472482
2020-07-27,5.479452697419859
2020-07-28,5.477024647887312
